period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,year,month
2008-01-01,WNC,West North Central,ALL,all sectors,10412512.0,6.43,1681.23537,26136.55424,2008,1
2008-01-01,ENC,East North Central,RES,residential,19625303.0,9.29,1800.26195,19383.07226,2008,1
2008-01-01,ENC,East North Central,COM,commercial,2391100.0,8.35,1303.14298,15598.64385,2008,1
2008-01-01,PACC,Pacific Contiguous,COM,commercial,2449425.0,9.6,1355.73065,14119.40808,2008,1
2008-01-01,PACC,Pacific Contiguous,ALL,all sectors,20266353.0,9.82,3541.97104,36062.10881,2008,1
2008-01-01,MTN,Mountain,TRA,transportation,26.0,7.2,0.57833,8.02844,2008,1
2008-01-01,MTN,Mountain,IND,industrial,76170.0,5.46,343.01276,6285.62674,2008,1
2008-01-01,MTN,Mountain,COM,commercial,1308809.0,7.55,556.51212,7371.87171,2008,1
2008-01-01,MT,Montana,ALL,all sectors,564164.0,7.47,108.90933,1457.38615,2008,1
2008-01-01,MO,Missouri,RES,residential,2675431.0,6.58,235.11101,3575.18049,2008,1
2008-01-01,MO,Missouri,COM,commercial,367807.0,5.62,145.72252,2590.75967,2008,1
2008-01-01,MO,Missouri,ALL,all sectors,3052643.0,5.8,444.70199,7673.02122,2008,1
2008-01-01,GA,Georgia,COM,commercial,540481.0,8.49,318.29006,3747.61981,2008,1
2008-01-01,VA,Virginia,TRA,transportation,1.0,6.89,1.2301,17.86,2008,1
2008-01-01,OH,Ohio,TRA,transportation,2.0,9.43,0.49412,5.23726,2008,1
2008-01-01,OK,Oklahoma,TRA,transportation,0.0,0.0,0.0,0.0,2008,1
